Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
5874;Tartarus Colles;1672.69;21.24;175.19;32.64;10.49;189.7;160.31;Planetocentric  +East  0 - 360;Greek;Collis;CO;mc15;
5875;Tartarus Montes;1086.46;15.46;167.54;22.04;9.76;173.86;159.89;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc15;
5876;Tartarus Rupes;97.46;-6.5;175.71;-5.79;-7.19;176.09;175.35;Planetocentric  +East  0 - 360;Greek;Rupes;RU;mc23;
5877;Tartarus Scopulus;251.31;-4.23;177.25;-2.86;-5.49;178.5;176.16;Planetocentric  +East  0 - 360;Greek;Scopulus;SC;mc23;
5882;Taus Vallis;10.4;-4.85;211.68;-4.78;-4.93;211.68;211.64;Planetocentric  +East  0 - 360;Scotland;Vallis;VA;mc16;
14336;Tavua;31.56;15.62;117.61;15.89;15.36;117.89;117.34;Planetocentric  +East  0 - 360;Fiji;Crater;AA;mc14;
5888;Taxco;17.36;20.67;319.87;20.81;20.52;320.02;319.71;Planetocentric  +East  0 - 360;Mexico;Crater;AA;mc11;
14207;Taytay;18.17;7.39;340.4;7.54;7.24;340.56;340.25;Planetocentric  +East  0 - 360;Philippines;Crater;AA;mc11;
5890;Taza;24.28;-43.57;314.7;-43.37;-43.78;314.99;314.43;Planetocentric  +East  0 - 360;Morocco;Crater;AA;mc26;
5894;Tecolote;47.93;-24.55;253.16;-24.15;-24.95;253.61;252.72;Planetocentric  +East  0 - 360;United States;Crater;AA;mc17;
5901;Teisserenc de Bort;114.89;0.43;45.07;1.4;-0.54;46.04;44.1;Planetocentric  +East  0 - 360;France;Crater;AA;mc13;
5902;Tejn;3.77;15.39;106.42;15.42;15.36;106.46;106.39;Planetocentric  +East  0 - 360;Denmark;Crater;AA;mc14;
5910;Telz;3.19;21.16;111.12;21.19;21.13;111.15;111.09;Planetocentric  +East  0 - 360;Germany;Crater;AA;mc14;
5918;Tem ;5.88;41.91;350.55;41.96;41.86;350.61;350.48;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc04;
5912;Tempe;0;39.67;290;39.67;39.67;290;290;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc03;
5913;Tempe Colles;34.49;33.75;277.44;33.93;33.53;277.74;277.12;Planetocentric  +East  0 - 360;Greek;Collis;CO;mc03;
5914;Tempe Fossae;2116.24;40.42;288.6;52.35;30.72;309.86;270.73;Planetocentric  +East  0 - 360;Greek;Fossa;FO;mc03;
5915;Tempe Mensa;55.39;27.94;288.41;28.39;27.48;288.79;287.96;Planetocentric  +East  0 - 360;Greek;Mensa;MN;mc10;
