full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index;state_index
Saturn XLIII (Hati);hati;hati;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;43;Hati;Хати;99;6
Saturn XLIV (Hyrrokkin);hyrrokkin;hyrrokkin;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;44;Hyrrokkin;Гирроккин;100;6
Saturn XLV (Kari);kari;kari;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;45;Kari;Кари;101;6
Saturn XLVI (Loge);loge;loge;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;46;Loge;Ложе;102;6
Saturn XLVII (Skoll);skoll;skoll;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;47;Skoll;Сколл;103;6
Saturn XLVIII (Surtur);surtur;surtur;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;48;Surtur;Суртур;104;6
Saturn XLIX (Anthe);anthe;anthe;0.9;1.8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;49;Anthe;Анфе;105;6
Saturn L (Jarnsaxa);jarnsaxa;jarnsaxa;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;50;Jarnsaxa;Ярнсакса;106;6
Saturn LI (Greip);greip;greip;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;51;Greip;Грейп;107;6
Saturn LII (Tarqeq);tarqeq;tarqeq;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;52;Tarqeq;Таркек;108;6
Saturn LIII (Aegaeon);aegaeon;aegaeon;0.3;0.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;53;Aegaeon;Эгеон;109;6
Uranus VI (Cordelia);cordelia;cordelia;20.1;40.2;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;1;Cordelia;Корделия;110;7
Uranus VII (Ophelia);ophelia;ophelia;21.4;42.8;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;2;Ophelia;Офелия;111;7
Uranus VIII (Bianca);bianca;bianca;27;54;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;3;Bianca;Бианка;112;7
Uranus IX (Cressida);cressida;cressida;41;82;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;4;Cressida;Крессида;113;7
Uranus X (Desdemona);desdemona;desdemona;35;70;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;5;Desdemona;Дездемона;114;7
