Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
1350;Curie;138.87;-23.05;92.28;-20.77;-25.35;94.78;89.8;Planetocentric  +East  0 - 360;Europe;France;"Crater; craters";AA;LAC-100;
8479;Curie C;47.98;-21.24;94.35;-20.44;-22.03;95.19;93.5;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8480;Curie E;38.42;-22.43;96.43;-21.8;-23.07;97.12;95.75;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8481;Curie G;49.95;-23.64;94.84;-22.81;-24.46;95.74;93.94;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8482;Curie K;11.1;-23.73;92.95;-23.55;-23.91;93.15;92.75;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8483;Curie L;21.09;-26.24;93.05;-25.89;-26.59;93.44;92.66;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8484;Curie M;36.58;-28.6;92.51;-28;-29.21;93.2;91.82;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8485;Curie P;29.37;-28.54;90.2;-28.06;-29.03;90.75;89.64;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8486;Curie V;21.12;-22.11;90.68;-21.76;-22.45;91.06;90.31;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
8487;Curie Z;21.97;-20.55;92.5;-20.18;-20.91;92.89;92.12;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-100;
1352;Curtis;2.88;14.57;56.79;14.62;14.53;56.84;56.74;Planetocentric  +East  0 - 360;North America;American;"Crater; craters";AA;LAC-62;
1353;Curtius;99.29;-67.08;4.4;-65.44;-68.72;8.61;0.2;Planetocentric  +East  0 - 360;Europe;Germany;"Crater; craters";AA;LAC-137;
8488;Curtius A;11.73;-68.5;2.52;-68.31;-68.69;3.05;2;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8489;Curtius B;40.26;-63.76;4.63;-63.09;-64.42;6.13;3.13;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-126;
8490;Curtius C;9.94;-69.36;4.38;-69.2;-69.53;4.84;3.91;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8491;Curtius D;57.19;-64.7;8.35;-63.76;-65.64;10.58;6.15;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8492;Curtius E;16.95;-67.23;7.98;-66.95;-67.51;8.71;7.26;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8493;Curtius F;5.54;-66.86;2.65;-66.77;-66.95;2.88;2.42;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8494;Curtius G;5.44;-66;2.92;-65.91;-66.08;3.14;2.7;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8495;Curtius H;9.73;-69.35;7.99;-69.19;-69.51;8.44;7.53;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
