StarID,ColorIndex,X,Y,Z
81303,1.610,-2805338.31369,-7639057.30357,5811615.99371
81304,0.611,-28.70656,-78.17533,-48.98629
81305,0.724,-188.53573,-513.44289,261.03664
81306,0.049,-1169337.30254,-3184651.3918,-9406946.67708
81307,1.292,-59.72145,-162.68217,70.03862
81308,1.530,-223.32235,-608.52862,38.42262
81309,0.006,-187.09964,-509.84628,-708.692
81310,1.410,-69.06998,-188.2363,-10.87937
81311,0.445,-3271895.35312,-8918870.74414,3122250.06162
81312,0.188,-28.00807,-76.36479,45.49264
81313,0.443,-16.34137,-44.5752,-75.14815
81314,,-25.51211,-69.61397,-99.67211
81315,1.770,-4.76221,-12.99572,16.83124
81316,1.245,-110.97778,-302.91279,58.52995
81317,0.862,-25.50061,-69.6081,-99.67915
81318,0.246,-70.92601,-193.62065,-106.3633
81319,1.487,-172.48106,-470.88753,246.20181
81320,1.205,-37.22523,-101.63524,-535.6212
81321,,-43.36253,-118.42767,-95.96898
81322,0.078,-54.5488,-149.00493,-277.29959
81323,0.435,-42.51493,-116.14135,26.9581
81324,0.920,-77.40265,-211.47404,166.58425
81325,0.385,-35.64466,-97.38644,-13.67563
81326,1.700,-143.57031,-392.29651,-542.79109
81327,0.379,-50.6918,-138.53152,62.62167
81328,0.969,-92.20684,-251.99776,188.39588
81329,0.366,-48.95361,-133.81811,60.48893
81330,0.600,-72.04783,-196.95602,142.95271
81331,1.323,-139.45931,-381.24186,101.35436
81332,0.492,-14.71253,-40.23218,-7.21029
81333,1.093,-49.0426,-134.14145,-219.38486
81334,0.391,-46.99876,-128.57438,-63.85985
81335,0.210,-33.41784,-91.45114,135.95524
81336,0.241,-59.05755,-161.61759,-10.88462
81337,1.000,-33.68135,-92.19013,-117.85669
81338,0.701,-70.36564,-192.62448,-133.13203
81339,0.460,-55.32456,-151.45464,69.13308
81340,0.651,-25.3985,-69.5341,15.26879
81341,-0.060,-15.022,-41.1305,-67.41294
81342,0.098,-49.33128,-135.08313,102.63646
81343,0.953,-52.13798,-142.78887,119.60625
81344,0.700,-6.76111,-18.52087,-25.23046
81345,0.657,-14.90829,-40.83874,99.23712
81346,0.982,-17.05122,-46.716,-63.65172
81347,1.132,-50.57802,-138.57333,-114.22171
81348,0.980,-65.30722,-178.93736,131.5297
81349,0.870,-1000615.80006,-2741871.23194,-9564565.3413
81350,0.876,-12.92634,-35.43403,3.63712
81351,1.456,-306.87466,-841.35528,-963.97674
81352,0.108,-82.57117,-226.43052,37.41147
81353,1.095,-82.71702,-226.8631,93.84519
81354,1.511,-130.08188,-356.86908,114.86319
81355,0.710,-17.09233,-46.89248,-35.28703
81356,0.111,-43.44946,-119.27985,-230.51364
81357,0.714,-11.96374,-32.84561,26.84027
81358,0.432,-16.47267,-45.22635,-53.05232
81359,0.970,-98.27104,-270.03766,137.28238
81360,0.548,-24.44089,-67.17827,-7.61571
81361,1.294,-265.37822,-729.75013,646.02104
81362,0.614,-31.16186,-85.70538,-23.8059
81363,1.626,-60.698,-166.99732,-276.82849
81364,0.446,-19.79802,-54.48823,93.21164
81365,0.850,-2027495.46679,-5581030.04354,-8046201.94782
81366,0.389,-3004797.72388,-8272729.33294,4746908.46998
81367,0.140,-26.32706,-72.48391,-240.46199
81368,1.591,-70.77572,-194.92453,-114.66691
81369,0.322,-28.33795,-78.06719,-41.32436
81370,0.378,-43.28411,-119.25104,-67.44692
81371,1.334,-110.92779,-305.6188,103.80638
81372,1.208,-301.77276,-831.54413,-590.93262
81373,1.141,-63.30138,-174.44219,-91.80491
81374,1.707,-127.57834,-351.58983,50.07775
81375,1.317,-132.85681,-366.29978,297.43189
81376,0.522,-46.78423,-129.0619,-60.8221
81377,0.958,-15.67179,-43.2413,473.96408
81378,1.010,-27.08613,-74.75031,22.30674
81379,0.340,-15.68801,-43.31173,128.21566
81380,0.903,-106.36528,-293.95207,302.18292
81381,1.563,-116.34675,-321.65429,134.78243
81382,0.053,-44.96164,-124.32333,75.89344
81383,0.549,-26.62417,-73.68561,-21.95829
81384,1.077,-41.39662,-114.63052,-45.34651
81385,0.982,-7.0857,-19.62345,24.14208
81386,0.136,-31.56587,-87.42117,6.83727
81387,1.402,-2818814.65962,-7806886.20202,-5577348.09235
81388,-0.034,-1989215.76402,-5510489.02263,-8104167.53131
81389,1.149,-42.09624,-116.63883,185.00328
81390,1.194,-27.36679,-75.82796,-183.47114
81391,0.974,-45.71264,-126.67751,381.80283
81392,0.173,-55.13836,-152.7987,-116.67184
81393,-0.004,-31.45493,-87.18411,6.83857
81394,0.397,-2203602.75292,-6109513.6871,-7603813.34689
81395,0.855,-47.05849,-130.54003,-115.95235
81396,1.210,-71.7028,-198.90457,116.79083
81397,0.127,-79.57667,-220.75373,-204.90019
81398,1.574,-47.19813,-130.93389,446.08108
81399,0.662,-55.90806,-155.11806,-51.4
81400,1.083,-179.88411,-499.15243,501.28035
81401,0.321,-10.3087,-28.60995,-38.20192
81402,-0.091,-164.46095,-456.43631,-934.15829
81403,0.033,-118.8682,-329.91181,-399.95249
81404,-0.130,-52.31836,-145.28911,-379.63069
81405,0.800,-16.01894,-44.48824,-148.15859
81406,,-5.25995,-14.61341,11.41561
81407,0.110,-22.81049,-63.37323,-147.41667
81408,0.496,-10.5977,-29.4469,52.15863
81409,0.488,-5.13838,-14.28027,-26.76595
81410,0.417,-11.84534,-32.92182,-95.52335
81411,0.046,-35.24709,-97.97765,22.8839
81412,1.212,-30.30184,-84.30353,188.57068
81413,0.387,-15.24577,-42.41756,-74.62813
81414,1.147,-51.24224,-142.60458,-22.13207
81415,0.591,-14.05861,-39.12515,16.75335
81416,0.296,-57.41998,-159.80938,71.2711
81417,1.171,-43.23293,-120.32448,117.00156
81418,1.066,-5.45408,-15.1816,120.2823
81419,0.912,-13.1733,-36.66931,290.65511
81420,1.592,-125.6423,-349.85345,-147.70433
81421,1.019,-35.84172,-99.82641,249.38429
81422,1.316,-42.22731,-117.62905,57.90384
81423,0.486,-27.83332,-77.57632,-22.63525
81424,1.169,-196.18048,-546.88561,289.97518
81425,0.263,-32.164,-89.67768,69.73119
81426,1.011,-1096.56012,-3057.40979,1779.66917
81427,0.479,-22.14623,-61.74927,-51.05314
81428,0.565,-11.70914,-32.6495,-92.31835
81429,0.575,-35.35171,-98.58622,69.6647
81430,0.023,-84.06053,-234.42787,-274.13793
81431,0.121,-31.42994,-87.66606,177.44661
81432,1.779,-137.01496,-382.30056,-85.12649
81433,0.631,-9.95668,-27.78394,-1.4725
81434,0.461,-24.48904,-68.34042,-54.03437
