id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000181;2000181;181Eucharis;181;Eucharis;115.383;2.48090934;2018.32791;MBA;DES=+2000181;1998-08-14-10-01-58;2000-01-01-00-00-00;;Эвхарида
a0000182;2000182;182Elsa;182;Elsa;39.52;1.965687816;1371.352859;MBA;DES=+2000182;1999-01-23-03-52-58;2000-01-01-00-00-00;;Elsa
a0000183;2000183;183Istria;183;Istria;32.927;1.812754983;1703.07573;MBA;DES=+2000183;1998-11-01-05-32-45;2000-01-01-00-00-00;;Istria
a0000184;2000184;184Dejopeja;184;Dejopeja;62.483;2.976569567;2079.104244;MBA;DES=+2000184;1998-07-30-05-22-29;2000-01-01-00-00-00;;Dejopeja
a0000185;2000185;185Eunike;185;Eunike;160.464;2.384220571;1654.364484;MBA;DES=+2000185;1998-11-13-09-48-48;2000-01-01-00-00-00;;Эвника
a0000186;2000186;186Celuta;186;Celuta;49.99;2.00685936;1325.453553;MBA;DES=+2000186;1999-02-03-15-16-43;2000-01-01-00-00-00;;Celuta
a0000187;2000187;187Lamberta;187;Lamberta;147.294;2.068166608;1644.753549;MBA;DES=+2000187;1998-11-15-19-28-44;2000-01-01-00-00-00;;Ламберта
a0000188;2000188;188Menippe;188;Menippe;35.752;2.266621437;1675.804361;MBA;DES=+2000188;1998-11-08-01-10-26;2000-01-01-00-00-00;;Menippe
a0000189;2000189;189Phthia;189;Phthia;38.49;2.362268132;1401.932271;MBA;DES=+2000189;1999-01-15-12-24-22;2000-01-01-00-00-00;;Phthia
a0000190;2000190;190Ismene;190;Ismene;159;3.322227382;2906.186891;OMB;DES=+2000190;1998-01-04-10-52-44;2000-01-01-00-00-00;;Ismene
a0000191;2000191;191Kolga;191;Kolga;94.536;2.630910422;1798.012864;MBA;DES=+2000191;1998-10-08-11-55-23;2000-01-01-00-00-00;;Колга
a0000192;2000192;192Nausikaa;192;Nausikaa;98.776;1.814239666;1360.681029;MBA;DES=+2000192;1999-01-25-19-54-49;2000-01-01-00-00-00;;Навсикая
a0000193;2000193;193Ambrosia;193;Ambrosia;26.302;1.831222134;1534.021218;MBA;DES=+2000193;1998-12-13-11-52-22;2000-01-01-00-00-00;;Ambrosia
a0000194;2000194;194Prokne;194;Prokne;161.667;1.992084964;1544.91404;MBA;DES=+2000194;1998-12-10-18-30-57;2000-01-01-00-00-00;;Prokne
