ID Node1 Node2 Node3 Marker
1041 4407 5139 4849 0
1042 4624 5139 4407 0
1043 4624 4849 5139 0
1044 91 266 26 0
1045 91 153 266 0
1046 26 153 91 0
1047 26 266 153 0
1048 11138 11121 10970 0
1049 11138 10880 11121 0
1050 10970 10880 11138 0
1051 10970 11121 10880 0
1052 5484 5591 5436 0
1053 5484 5756 5591 0
1054 5436 5756 5484 0
1055 5436 5591 5756 0
1056 1465 1484 1453 0
1057 1465 1323 1484 0
1058 1453 1323 1465 0
1059 1453 1484 1323 0
1060 11066 11067 10444 0
1061 11066 10566 11067 0
1062 10444 10566 11066 0
1063 10444 11067 10566 0
1064 8658 8944 8535 0
1065 8658 8677 8944 0
1066 8535 8677 8658 0
1067 8535 8944 8677 0
1068 10795 10777 10729 0
1069 10795 10808 10777 0
1070 10729 10777 10808 0
1071 8859 8239 7303 0
