ID,Node1,Node2,X,Y,Z
1124,282,8363,,,
1125,283,591,,,
1126,283,16710,,,
1127,283,2233,,,
1128,283,16727,,,
1129,284,11564,,,
1130,284,11780,,,
1131,284,8995,,,
1132,284,11121,,,
1133,285,42783,,,
1134,285,40283,,,
1135,285,43056,,,
1136,285,42924,,,
1137,286,47986,,,
1138,286,46922,,,
1139,286,46909,,,
1140,286,46734,,,
1141,287,36046,,,
1142,287,36173,,,
1143,287,36048,,,
1144,287,17695,,,
1145,288,13420,,,
1146,288,18645,,,
1147,288,13442,,,
1148,288,18696,,,
1149,289,19826,,,
1150,289,20017,,,
1151,289,17318,,,
1152,290,43463,,,
1153,290,46011,,,
1154,290,45975,,,
1155,290,46093,,,
1156,291,13008,,,
1157,291,13151,,,
1158,291,2964,,,
1159,291,1606,,,
1160,292,2992,,,
1161,292,13240,,,
1162,292,13221,,,
1163,292,18845,,,
1164,293,32364,,,
1165,293,32296,,,
1166,293,4168,,,
1167,293,32338,,,
1168,294,2393,,,
1169,294,12640,,,
1170,294,13107,,,
1171,294,9131,,,
1172,295,15209,,,
1173,295,15238,,,
1174,295,14781,,,
1175,295,15236,,,
1176,296,40886,,,
1177,296,40758,,,
1178,296,40136,,,
1179,296,39451,,,
1180,297,16782,,,
1181,297,16771,,,
1182,297,1859,,,
1183,297,15374,,,
1184,298,4306,,,
1185,298,27651,,,
1186,298,33005,,,
1187,298,33098,,,
1188,299,19047,,,
1189,299,18971,,,
1190,299,19033,,,
1191,299,19001,,,
1192,300,50332,,,
1193,300,50882,,,
1194,300,60097,,,
1195,300,7993,,,
1196,301,2797,,,
1197,301,23235,,,
1198,301,23234,,,
1199,301,3192,,,
1200,302,22038,,,
1201,302,21724,,,
1202,302,66927,,,
1203,302,22116,,,
1204,303,12375,,,
1205,303,12165,,,
1206,303,12393,,,
1207,303,12171,,,
1208,304,18640,,,
1209,304,17927,,,
1210,304,18633,,,
1211,304,10853,,,
1212,305,9882,,,
1213,305,11908,,,
1214,305,19235,,,
1215,305,19258,,,
1216,306,69177,,,
1217,306,68928,,,
1218,306,69181,,,
1219,306,6638,,,
1220,307,61908,,,
1221,307,63319,,,
1222,307,63307,,,
1223,307,61840,,,
1224,308,15727,,,
1225,308,24903,,,
1226,308,15857,,,
1227,308,24268,,,
1228,309,11757,,,
1229,309,11858,,,
1230,309,11879,,,
1231,309,11331,,,
1232,310,23011,,,
1233,310,23116,,,
1234,310,7770,,,
1235,310,21706,,,
1236,311,30111,,,
1237,311,29707,,,
1238,311,30435,,,
1239,311,3741,,,
1240,312,49776,,,
1241,312,72128,,,
1242,312,72634,,,
1243,312,72698,,,
1244,313,6750,,,
1245,313,54033,,,
