ID,Node1,Node2,Marker
726,4682,4697,0
727,4724,4697,0
728,4724,4770,0
729,4724,4682,0
730,4697,4770,0
731,1773,1744,0
732,1773,1696,0
733,1930,1696,0
734,1930,1744,0
735,1930,1773,0
736,1696,1744,0
737,2813,2938,0
738,2813,2971,0
739,2782,2971,0
740,2782,2938,0
741,2782,2813,0
742,2971,2938,0
743,3544,3698,0
744,3544,3542,0
745,3617,3542,0
746,3617,3698,0
747,3617,3544,0
748,3542,3698,0
749,6715,83,0
750,6715,6492,0
751,93,6492,0
752,93,83,0
753,93,6715,0
754,6492,83,0
755,1300,1355,0
756,1300,6585,0
757,1424,6585,0
758,1424,1355,0
759,1424,1300,0
760,6585,1355,0
761,4880,4414,0
762,4880,4894,0
763,4429,4894,0
764,4429,4414,0
765,4429,4880,0
766,4894,4414,0
767,5666,5916,0
768,5666,6439,0
769,6175,6439,0
770,6175,5916,0
771,6175,5666,0
772,6439,5916,0
773,4480,4692,0
774,4480,4749,0
775,4574,4749,0
776,4574,4692,0
777,4574,4480,0
778,4749,4692,0
779,6082,6312,0
780,6082,6242,0
781,6215,6242,0
782,6215,6312,0
783,6215,6082,0
784,6242,6312,0
785,4193,4187,0
786,4193,4249,0
787,4415,4249,0
788,4415,4187,0
789,4415,4193,0
790,4249,4187,0
791,2756,2521,0
792,2756,3202,0
793,1778,3202,0
794,1778,2521,0
795,1778,2756,0
796,3202,2521,0
797,4569,4309,0
798,4569,4174,0
799,4459,4174,0
800,4459,4309,0
801,4459,4569,0
802,4174,4309,0
803,4854,6680,0
804,4854,5024,0
805,4747,5024,0
806,4747,6680,0
807,4747,4854,0
808,5024,6680,0
809,2689,2529,0
810,2689,2697,0
811,2781,2697,0
812,2781,2529,0
813,2781,2689,0
814,2697,2529,0
815,3457,3533,0
816,3457,3229,0
817,3325,3229,0
818,3325,3533,0
819,3325,3457,0
820,3229,3533,0
821,3120,3191,0
822,3120,3197,0
823,2899,3197,0
824,2899,3191,0
825,2899,3120,0
826,3197,3191,0
827,4559,4391,0
828,4559,4600,0
829,4502,4600,0
830,4502,4391,0
831,4502,4559,0
832,4600,4391,0
833,5516,5714,0
834,5516,5300,0
835,5538,5300,0
836,5538,5714,0
837,5538,5516,0
838,5300,5714,0
839,1848,1644,0
840,1848,1839,0
841,1685,1839,0
842,1685,1644,0
843,1685,1848,0
844,1839,1644,0
845,4957,4904,0
846,4957,5013,0
847,4957,4895,0
848,4874,4934,0
849,4874,4885,0
850,4796,4885,0
851,4796,4934,0
852,4796,4874,0
853,4885,4934,0
854,3196,3201,0
855,3196,3263,0
856,3354,3263,0
857,3354,3201,0
858,3354,3196,0
859,3263,3201,0
860,1561,1647,0
861,1561,1604,0
862,1597,1604,0
863,1597,1647,0
864,1597,1561,0
865,1604,1647,0
866,4034,3880,0
867,4034,3840,0
868,3871,3840,0
869,3871,3880,0
870,3871,4034,0
871,3840,3880,0
872,6119,6061,0
873,6119,6189,0
874,6106,6189,0
875,6106,6061,0
876,6106,6119,0
877,6189,6061,0
878,1588,1591,0
879,1588,1688,0
880,1471,1688,0
881,1471,1591,0
882,1471,1588,0
883,1688,1591,0
884,4834,4819,0
885,4834,4698,0
886,4585,4698,0
887,4585,4819,0
888,4585,4834,0
889,4698,4819,0
890,5191,5055,0
891,5191,5159,0
892,5211,5159,0
893,5211,5055,0
894,5211,5191,0
895,5159,5055,0
896,2327,2442,0
